Unnamed: 0,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,cluster
72,"Nice that @NYTimes gets interested in Greater Toronto's urgent need to preserve Greenbelt, threatened by @FordNation. Wrong title, nothing in common w Central Park. BTW Greenbelt &amp; housing crisis are not related; Ford's dirty game. GTHA can house all growth in existing footprint. https://t.co/P6XYbCibol",2023-02-07 03:23:58.461779,1622669390423498753,2023-02-06 18:51:45+00:00,4.0,0.0,42.0,11.0,,,Penalosa_G,35202,"(central park OR galloping goose OR juan de fuca OR nuu-chah-nulth OR quadra OR selkirk green OR the gorge OR view royal) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",central park OR galloping goose OR juan de fuca OR nuu-chah-nulth OR quadra OR selkirk green OR the gorge OR view royal,positive,0.349962264299393,12
81,"The average house price in Central Park for all of 2022 was $614,369 down by 0.9% over the previous year.🏠💲📉  Check out the history of home prices in this neighbourhood in the West End of Ottawa. #OttawaRealEstate #MarketUpdate #CentralPark 👀👉👉 https://t.co/PdqyMMT0sa👀 https://t.co/eulpc4Mti6",2023-02-07 03:24:09.642056,1622731869166129153,2023-02-06 23:00:01+00:00,0.0,0.0,0.0,1.0,,,agentinottawa,457,(central park OR galloping goose OR juan de fuca OR nuu-chah-nulth OR quadra OR selkirk green OR the gorge OR view royal) (crd OR svdp OR beacon community services OR quadra village community centre OR victoria harbour cats OR i love first peoples victoria OR township of esquimalt OR peer housing support OR the cridge centre for the family OR people with lived experience OR home OR drugs) lang:en -is:retweet,central park OR galloping goose OR juan de fuca OR nuu-chah-nulth OR quadra OR selkirk green OR the gorge OR view royal,positive,0.372338593006134,10
111,"“We see this as part of the continuum of care that folks need rather than being strict about income limits the way a lot of our affordable housing is currently.” - Shalimar Gonzales, CEOThanks to Crosscut for sharing Solid Ground's support in this piece about I-135! #Yeson135 https://t.co/HBkfZoWHvf Seattle's Feb. 14 special election will have voters decide whether they want to experiment with social housing. https://t.co/L5LUilkpmm",2023-02-07 03:25:09.258268,1622720583095173123,2023-02-06 22:15:10+00:00,0.0,0.0,2.0,1.0,,,SolidGround,5283,(central saanich OR gonzales OR kwakwaka’wakw OR nuu-chah-nulth OR quadra village OR selkirk trestle OR topaz park OR west shore) (foundry victoria OR the cridge centre for the family OR dvba OR solid outreach OR 1up victoria single parent resource centre OR need2 suicide prevention education  support OR victoria chamber OR aceh OR affordable housing OR front line worker OR poverty OR social structure) lang:en -is:retweet,central saanich OR gonzales OR kwakwaka’wakw OR nuu-chah-nulth OR quadra village OR selkirk trestle OR topaz park OR west shore,positive,0.355310887098312,5
135,"One by-product of the fractious nature of the CRD is that it makes it waaaaay too easy for Core politicians to blame Langford for bad choices, when every planner and representative in the Core should be asking ""why are so many people choosing to live in Langford and not here?"" https://t.co/FSNQ4HNhqg @JohnsonStBRDG @ianincolwood I think Calgary wouldn't have that reputation if Victoria, Vancouver, Toronto, etc. actually included the neighboring municipalities",2023-02-07 03:25:41.930015,1622697817751064577,2023-02-06 20:44:42+00:00,1.0,0.0,0.0,0.0,,,WillfulAlpaca,111,(coast salish OR gonzales (foul bay) OR langford OR oak bay OR rock bay OR sidney OR tsartlip OR wsáneć) (crd OR svdp OR beacon community services OR quadra village community centre OR victoria harbour cats OR i love first peoples victoria OR township of esquimalt OR peer housing support OR the cridge centre for the family OR people with lived experience OR home OR drugs) lang:en -is:retweet,coast salish OR gonzales (foul bay) OR langford OR oak bay OR rock bay OR sidney OR tsartlip OR wsáneć,positive,0.360743433237076,13
159,"Residents’ Views Sought On Lochside Regeneration Proposals ##Dumfries

Wheatley Homes South and Dumfries and Galloway Council to create a housing-led masterplan which will lead to new, high-quality, affordable homes that meet the needs of local people. 

https://t.co/62rrz92X39 https://t.co/0yGvQ268mz",2023-02-07 03:26:52.935974,1622595473369452544,2023-02-06 13:58:01+00:00,0.0,1.0,1.0,1.0,,,DGWGO,11137,(cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum,positive,0.347720235586166,5
160,"Rockland County’s Warming Center is operated by Catholic Charities Community Services of Rockland, in partnership with the Rockland County Department of Social Services and is open now through April. The Center has space for up to 75 homeless single

https://t.co/GvxwW2Q1BG",2023-02-07 03:26:55.782005,1622671516079988744,2023-02-06 19:00:11+00:00,0.0,0.0,0.0,0.0,,,rocklandnews,50,"(cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum) (avi OR peers victoria resources society OR victoria police department OR island health OR togethervic OR district of saanich OR south island centre for counselling ""and"" training OR young parents support OR greater victoria coalition to end homelessness OR makola housing society OR homeless OR alcoholic) lang:en -is:retweet",cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum,positive,0.34086087346077,12
162,"“The 513-foot tall tower will yield around 918,840 square feet with 452,600 square feet for housing, 9,290 square feet for retail, 293,970 square feet of parking with the 734-car garage…”

😳 293,970 sq ft of parking 😳 https://t.co/muUEGSwl58",2023-02-07 03:27:01.326024,1622456923177250816,2023-02-06 04:47:28+00:00,0.0,0.0,0.0,0.0,,,calisurf,914,"(cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum,positive,0.351920932531357,5
169,"Six months after an employee’s fatal fall, OSHA found ALJ Home Improvement workers re-roofing a house without protection, officials said. https://t.co/5Gw10pqXFA",2023-02-07 03:27:11.855071,1622628913036857344,2023-02-06 16:10:54+00:00,0.0,0.0,0.0,0.0,,,NewCityPatch,2286,(cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum) (crd OR svdp OR beacon community services OR quadra village community centre OR victoria harbour cats OR i love first peoples victoria OR township of esquimalt OR peer housing support OR the cridge centre for the family OR people with lived experience OR home OR drugs) lang:en -is:retweet,cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum,positive,0.360095113515854,12
170,"Six months after an employee’s fatal fall, OSHA found ALJ Home Improvement workers re-roofing a house without protection, officials said. https://t.co/TTTfy487vW",2023-02-07 03:27:11.855091,1622626926639677441,2023-02-06 16:03:00+00:00,0.0,0.0,0.0,0.0,,,julieingersoll,5836,(cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum) (crd OR svdp OR beacon community services OR quadra village community centre OR victoria harbour cats OR i love first peoples victoria OR township of esquimalt OR peer housing support OR the cridge centre for the family OR people with lived experience OR home OR drugs) lang:en -is:retweet,cook street village OR harris green OR lochside OR oaklands OR rockland OR songhees OR tseycum,positive,0.358438551425934,12
174,@timescolonist Check and see what starlight has been charging for their rental properties. Just because they are going to slam in more units doesn’t mean they will bring in affordable rent. Harris Green has a vibe that they are going to kill.,2023-02-07 03:27:38.212882,1622463207486152706,2023-02-06 05:12:27+00:00,0.0,0.0,0.0,0.0,,,VICat05,3,(esquimalt OR harris green OR malahat OR oaklands park OR royal athletic park OR songhees walkway OR uplands) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,esquimalt OR harris green OR malahat OR oaklands park OR royal athletic park OR songhees walkway OR uplands,positive,0.362265229225159,5
175,"Chek News Video: Rob Shaw: Eby pitches Trudeau on developing CFB Esquimalt land for housing 

&lt;https://t.co/ZJF9pd1oSh&gt;",2023-02-07 03:27:46.126215,1622723661416517632,2023-02-06 22:27:24+00:00,0.0,0.0,0.0,0.0,,,wisteriuw,31,"(esquimalt OR harris green OR malahat OR oaklands park OR royal athletic park OR songhees walkway OR uplands) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",esquimalt OR harris green OR malahat OR oaklands park OR royal athletic park OR songhees walkway OR uplands,negative,0.341482073068619,5
176,"On Thursday the 9th, the Harris Green Development will be going in front of council. The total project will be supplying @CityOfVictoria with over 1500 units of housing! Read up on the project and let council know your thoughts via email and at the public hearing. https://t.co/mY5ixzR9xd",2023-02-07 03:27:46.126251,1622704916233097216,2023-02-06 21:12:55+00:00,3.0,0.0,13.0,9.0,,,HomesForLiving_,1351,"(esquimalt OR harris green OR malahat OR oaklands park OR royal athletic park OR songhees walkway OR uplands) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",esquimalt OR harris green OR malahat OR oaklands park OR royal athletic park OR songhees walkway OR uplands,positive,0.360514611005783,5
188,"It's day one of Parliament and we are excited to be back.

With a bigger team representing metro, suburban, rural and regional Victoria, we’re ready to hit the ground running.

This week that means fighting for First Nations justice by reforming our bail laws &amp; raising the age. https://t.co/k8EwgmJnAh",2023-02-07 03:29:46.635464,1622760126213132288,2023-02-07 00:52:18+00:00,7.0,2.0,28.0,7.0,,,SamanthaRatnam,9394,"Victoria (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",Victoria,positive,0.384227067232132,6
209,"@alicedembowsky @lequelle8 I understand Saanich to still be reasonably affordable. Absolutely cheaper than anything in Toronto, especially if you go to the burbs. And Victoria's small, so even there everything is close. I believe Nanaimo is even cheaper",2023-02-07 03:29:52.268308,1622680766030450688,2023-02-06 19:36:57+00:00,1.0,0.0,2.0,0.0,,,igorzarubo,418,Victoria (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,Victoria,positive,0.360018193721771,10
210,"@deejayh67 @TogetherVic You asked. Matt Dell’s donation is dated Oct 15th. ACAB mural controversy was still going strong at that point 

This news story is from Oct 16th. 

Both together Victoria councilors opposed https://t.co/vjQUdEyfZW",2023-02-07 03:29:55.069763,1622792328711897089,2023-02-07 03:00:15+00:00,2.0,0.0,0.0,1.0,,,AACSB,14257,"Victoria (avi OR peers victoria resources society OR victoria police department OR island health OR togethervic OR district of saanich OR south island centre for counselling ""and"" training OR young parents support OR greater victoria coalition to end homelessness OR makola housing society OR homeless OR alcoholic) lang:en -is:retweet",Victoria,positive,0.35238242149353,9
214,Inside Victoria’s New Temporary Hotels for the Homeless - Capital Daily:  https://t.co/oKUmMqa6Fb,2023-02-07 03:29:55.069810,1622597244099649537,2023-02-06 14:05:04+00:00,0.0,0.0,0.0,0.0,,,menrvasofia,2034,"Victoria (avi OR peers victoria resources society OR victoria police department OR island health OR togethervic OR district of saanich OR south island centre for counselling ""and"" training OR young parents support OR greater victoria coalition to end homelessness OR makola housing society OR homeless OR alcoholic) lang:en -is:retweet",Victoria,negative,0.34930482506752,1
215,Where are Victoria's homeless coming from? - Capital Daily:  https://t.co/hMKu2DaBPX,2023-02-07 03:29:55.069816,1622595347347382274,2023-02-06 13:57:31+00:00,0.0,0.0,0.0,0.0,,,hauwa_ojeifo,8564,"Victoria (avi OR peers victoria resources society OR victoria police department OR island health OR togethervic OR district of saanich OR south island centre for counselling ""and"" training OR young parents support OR greater victoria coalition to end homelessness OR makola housing society OR homeless OR alcoholic) lang:en -is:retweet",Victoria,positive,0.360715389251709,1
216,"Yes! 

Blanche is right on! 

Victoria Park is chewed up for a new splash pad. 

While the homeless are kicked out with nowhere to go. 

Screwed-up priorities. https://t.co/aSM7KAzlOj",2023-02-07 03:29:55.069825,1622569462405767168,2023-02-06 12:14:40+00:00,5.0,1.0,29.0,10.0,,,BalogClaudio,1,"Victoria (avi OR peers victoria resources society OR victoria police department OR island health OR togethervic OR district of saanich OR south island centre for counselling ""and"" training OR young parents support OR greater victoria coalition to end homelessness OR makola housing society OR homeless OR alcoholic) lang:en -is:retweet",Victoria,positive,0.362498879432678,1
219,"Knowing rough sleepers by name key to solving street homelessness.
https://t.co/0HSKLwIgEd https://t.co/EIflNILM5M",2023-02-07 03:29:57.860675,1622775899405041664,2023-02-07 01:54:58+00:00,0.0,0.0,1.0,0.0,,,Homeless_AU,20670,Victoria (anawim house OR saanich police community engagement division OR victoria tenant action group OR makola housing society OR united way southern vancouver island OR extreme outreach society  coffee house OR st. john ambulance OR hope through achievement foundation victoria OR our place OR peers victoria resources society OR homelessness OR camp) lang:en -is:retweet,Victoria,negative,0.376292675733566,1
231,"@Adam_Stirling @mattdellok @vicpdcanada 1. Not all crimes are mentioned by VicPD on social media.

2. There's a FB group of ppl reporting where 1st responders are seen/heard so word spreads fast in Vic.

3. Living in denial doesn't make Victoria safer.",2023-02-07 03:30:00.724323,1622767316332331008,2023-02-07 01:20:52+00:00,0.0,0.0,18.0,1.0,,,ConvoN5Bucks,3113,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.376303195953369,11
232,The latest The Victoria Real Estate Daily! https://t.co/2jDcD0Sp5W Thanks to @sammyclaws12 #housing #realestate,2023-02-07 03:30:00.724372,1622719498410229770,2023-02-06 22:10:51+00:00,0.0,0.0,0.0,0.0,,,victoria_yyj,4372,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,neutral,0.357020646333694,0
233,"Victoria has some of the lowest rates of funding for public schools in the country... and for public hospitals... and for public housing. 
Notice a trend? https://t.co/4MiGBB31Xo",2023-02-07 03:30:00.724380,1622717427900620801,2023-02-06 22:02:38+00:00,0.0,0.0,3.0,1.0,,,Sam_Hibbins,4557,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.351118803024292,2
235,"@ianincolwood @JohnsonStBRDG I do kinda think we Victoria people are kinda throwing stones from glass houses. Calgary does build a lot of housing and the trajectory for mass transit is looking good, which I can't say applies to us.",2023-02-07 03:30:00.724394,1622676303379046400,2023-02-06 19:19:13+00:00,1.0,0.0,1.0,0.0,,,WillfulAlpaca,111,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.342842221260071,2
236,Victoria councillor calls for more security around supportive housing https://t.co/PxhI334qAq via @timescolonist,2023-02-07 03:30:00.724409,1622660518845489153,2023-02-06 18:16:29+00:00,0.0,0.0,0.0,0.0,,,KassSociety,2,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.355937749147415,8
237,@krogher_77 @Burgundavia @mattdellok Luckily we do finally have the chance to fix this situation as we have our first good council majority in Victoria history.  We can undo the policies that have choked our roads with cars and seen our farms and forests plowed over for car-centric housing.,2023-02-07 03:30:00.724417,1622646410167595008,2023-02-06 17:20:26+00:00,0.0,0.0,0.0,0.0,,,baronjutter,420,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.35938623547554,6
238,@krogher_77 @Burgundavia @mattdellok I'm not so much mad at this project as I am mad at Victoria for its 30+ years of policies that have pushed multi-family and affordability out into the smog choked highwayside hinterlands.  Victoria should be building so much housing that Saanich can stay rural.,2023-02-07 03:30:00.724533,1622645156594987008,2023-02-06 17:15:27+00:00,1.0,0.0,0.0,0.0,,,TomLangeYYJ,407,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.357059210538864,0
239,@Adam_Stirling Well if you and your followers keep bemoaning any density in Victoria I’m sure it will get killed. Given that Janice Williams didn’t get elected I’m definitely more optimistic of dense housing projects in Victoria these days,2023-02-07 03:30:00.724550,1622640054337425408,2023-02-06 16:55:10+00:00,5.0,0.0,0.0,0.0,,,tylerblack32,50924,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.378157734870911,0
240,"🇨🇦Housing Prices🇨🇦

In Vancouver, Halifax, Ottawa, Toronto, Vancouver and Victoria, condo prices have risen 20%-40% since 2017. The increases stalled during the pandemic but then took off again.

#canpoli #bcpoli 

Interactive tool here: https://t.co/LmJKcwHn09 https://t.co/oY0dRgED57",2023-02-07 03:30:00.724558,1622635936499499013,2023-02-06 16:38:49+00:00,1.0,0.0,10.0,4.0,,,JHills85,757,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.377013146877289,10
241,Great little piece here from ⁦@ProBonoNews⁩ on #housingfirst methodology used in a #supportivehousing environment down in Victoria. ⁦@VicGovAu⁩ #partnerships #philanthropy  https://t.co/Xq4fGiXw1A,2023-02-07 03:30:00.724578,1622598760047181825,2023-02-06 14:11:05+00:00,0.0,0.0,0.0,0.0,,,ffordable_homes,114,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,neutral,0.350661516189575,0
242,"Can Live-In ‘Mr. Fixits’ Fix Public Housing Better? Victoria, AU Aims To Find Out  #affordablehousing #affordablehomes Story, full photo&amp;credit at https://t.co/iXPpICLF7B via @ffordable_homes",2023-02-07 03:30:00.724586,1622596009833426945,2023-02-06 14:00:09+00:00,0.0,0.0,0.0,0.0,,,northacreDM,1076,"Victoria (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",Victoria,positive,0.361596435308456,0
